Heavenly Stem  of Day Pillar versus  Time of Birth(时辰),H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,Earthly Branch ofHour Pillar
11pm-1am,H1,H3,H5,H7,H9,H1,H3,H5,H7,H9,E1
1am-3am,H2,H4,H6,H8,H10,H2,H4,H6,H8,H10,E2
3am-5am,H3,H5,H7,H9,H1,H3,H5,H7,H9,H1,E3
5am-7am,H4,H6,H8,H10,H2,H4,H6,H8,H10,H2,E4
7am-9am,H5,H7,H9,H1,H3,H5,H7,H9,H1,H3,E5
9am-11am,H6,H8,H10,H2,H4,H6,H8,H10,H2,H4,E6
11am-1pm,H7,H9,H1,H3,H5,H7,H9,H1,H3,H5,E7
1pm-3pm,H8,H10,H2,H4,H6,H8,H10,H2,H4,H6,E8
3pm-5pm,H9,H1,H3,H5,H7,H9,H1,H3,H5,H7,E9
5pm-7pm,H10,H2,H4,H6,H8,H10,H2,H4,H6,H8,E10
7pm-9pm,H1,H3,H5,H7,H9,H1,H3,H5,H7,H9,E11
9pm-11pm,H2,H4,H6,H8,H10,H2,H4,H6,H8,H10,E12
